file,DewettingResult,CrackResult,GT_Dewetting,GT_Crack,GT_Dewetting_Std,GT_Crack_Std,GT_Dewetting_Labeller 1,GT_Dewetting_Labeller2,GT_Dewetting_Labeller3,GT_Crack_Labeller1,GT_Crack_Labeller2,GT_Crack_Labeller3
fire_cleansed-07192019120242-0.jpg,0.4,0.7,0.67,1.33,0.47140452,0.47140452,0,1,1,1,2,1
fire_cleansed-07192019120243-1.jpg,0.4,0.7,0.67,1.33,0.47140452,0.47140452,1,0,1,2,1,1
fire_cleansed-07192019120244-2.jpg,0.3,0.7,0.33,0.67,0.47140452,0.47140452,0,1,0,1,0,1
fire_cleansed-07192019120245-3.jpg,0.4,0.7,0.33,0.67,0.47140452,0.94280904,0,0,1,2,0,0
fire_cleansed-07192019120247-4.jpg,0.4,0.7,0.33,1.33,0.47140452,0.47140452,0,1,0,1,2,1
fire_cleansed-07192019120248-5.jpg,0.4,0.7,0.67,1,0.47140452,0.81649658,1,1,0,0,2,1
fire_cleansed-07192019120249-6.jpg,0.4,0.7,0.67,0.67,0.47140452,0.47140452,0,1,1,1,1,0
fire_cleansed-07192019120250-7.jpg,0.4,0.7,1,1,0,0.81649658,1,1,1,0,2,1
fire_cleansed-07192019120251-8.jpg,0.4,0.6,0,1,0,0.81649658,0,0,0,0,2,1
fire_cleansed-07192019120252-9.jpg,0.4,0.6,1,1,0.81649658,0,1,2,0,1,1,1
fire_cleansed-07192019120254-10.jpg,0.4,0.6,0.67,0.67,0.47140452,0.47140452,0,1,1,1,1,0
fire_cleansed-07192019120255-11.jpg,0.3,0.6,0.67,0.33,0.94280904,0.47140452,0,2,0,0,0,1
fire_cleansed-07192019120256-12.jpg,0.4,0.6,0.33,0.67,0.47140452,0.47140452,1,0,0,1,0,1
fire_cleansed-07192019120257-13.jpg,0.4,0.6,0.33,1,0.47140452,0,0,1,0,1,1,1
fire_cleansed-07192019120258-14.jpg,0.3,0.6,0.67,1.33,0.94280904,0.47140452,0,2,0,2,1,1
fire_cleansed-07192019120259-15.jpg,0.3,0.6,0.33,1.33,0.47140452,0.47140452,0,1,0,1,2,1
fire_cleansed-07192019120301-16.jpg,0.4,0.5,0.67,0.67,0.94280904,0.47140452,0,2,0,1,0,1
fire_cleansed-07192019120302-17.jpg,0.4,0.4,1,1,0,0,1,1,1,1,1,1
fire_cleansed-07192019120303-18.jpg,0.4,0.4,0.67,0.33,0.47140452,0.47140452,0,1,1,1,0,0
fire_cleansed-07192019120304-19.jpg,0.4,0.5,0.67,0.33,0.47140452,0.47140452,1,1,0,0,0,1
fire_cleansed-07192019120305-20.jpg,0.5,0.5,0.33,0.67,0.47140452,0.47140452,1,0,0,0,1,1
fire_cleansed-07192019120306-21.jpg,0.6,0.5,0.67,0,0.94280904,0,0,2,0,0,0,0
fire_cleansed-07192019120308-22.jpg,0.8,0.4,0.67,0.33,0.94280904,0.47140452,0,2,0,1,0,0
fire_cleansed-07192019120309-23.jpg,1,0.4,0.67,1,0.47140452,0.81649658,1,1,0,0,2,1
fire_cleansed-07192019120310-24.jpg,1.2,0.5,1.33,0.67,0.47140452,0.47140452,1,1,2,1,0,1
fire_cleansed-07192019120311-25.jpg,1.5,0.5,1.33,0.67,0.47140452,0.47140452,1,2,1,1,1,0
fire_cleansed-07192019120312-26.jpg,1.8,0.5,2,0.67,0,0.94280904,2,2,2,0,2,0
fire_cleansed-07192019120313-27.jpg,2.1,0.4,2,0.67,0.81649658,0.47140452,1,3,2,1,1,0
fire_cleansed-07192019120315-28.jpg,2.5,0.5,2.67,0.67,0.47140452,0.47140452,2,3,3,1,0,1
fire_cleansed-07192019120316-29.jpg,2.8,0.5,2.67,0.33,0.47140452,0.47140452,3,3,2,0,0,1
fire_cleansed-07192019120317-30.jpg,3.1,0.5,3.33,1,0.47140452,0.81649658,3,4,3,1,2,0
fire_cleansed-07192019120318-31.jpg,3.4,0.4,3,0.67,0.81649658,0.47140452,3,4,2,1,1,0
fire_cleansed-07192019120319-32.jpg,3.5,0.5,3.33,0.67,0.47140452,0.94280904,4,3,3,0,2,0
fire_cleansed-07192019120320-33.jpg,3.5,0.5,4.67,1.33,0.47140452,0.47140452,4,5,5,1,2,1
fire_cleansed-07192019120322-34.jpg,3.6,0.4,3.67,0,0.47140452,0,3,4,4,0,0,0
fire_cleansed-07192019120323-35.jpg,3.6,0.4,3.33,0.67,0.47140452,0.94280904,3,4,3,0,2,0
fire_cleansed-07192019120324-36.jpg,3.7,0.5,4,1,0.81649658,0.81649658,3,5,4,1,2,0
fire_cleansed-07192019120325-37.jpg,3.7,0.5,3.67,1.33,0.47140452,0.47140452,4,4,3,2,1,1
fire_cleansed-07192019120326-38.jpg,3.7,0.5,4.33,0.33,0.47140452,0.47140452,4,5,4,1,0,0
fire_cleansed-07192019120327-39.jpg,3.7,0.4,3.67,0.67,0.47140452,0.47140452,4,4,3,1,1,0
fire_cleansed-07192019120329-40.jpg,3.7,0.4,4,1,0.81649658,0.81649658,4,5,3,0,2,1
fire_cleansed-07192019120330-41.jpg,3.8,0.4,3.67,0.33,0.47140452,0.47140452,3,4,4,1,0,0
fire_cleansed-07192019120331-42.jpg,3.8,0.4,4,0.67,0,0.47140452,4,4,4,1,1,0
fire_cleansed-07192019120332-43.jpg,3.8,0.4,4.33,0.33,0.47140452,0.47140452,4,4,5,0,0,1
fire_cleansed-07192019120333-44.jpg,3.9,0.3,3.67,0.67,0.94280904,0.47140452,3,5,3,1,0,1
fire_cleansed-07192019120335-45.jpg,3.9,0.3,4,0.33,0.81649658,0.47140452,3,4,5,0,0,1
fire_cleansed-07192019120336-46.jpg,3.9,0.3,4.33,0.67,0.47140452,0.47140452,4,5,4,1,0,1
fire_cleansed-07192019120337-47.jpg,4,0.2,5,0.33,0,0.47140452,5,5,5,0,1,0
fire_cleansed-07192019120338-48.jpg,4,0.2,4,0.33,0,0.47140452,4,4,4,1,0,0
fire_cleansed-07192019120339-49.jpg,4,0.2,4,0,0.81649658,0,4,5,3,0,0,0
fire_cleansed-07192019120340-50.jpg,4,0.2,3.67,0.67,0.47140452,0.94280904,4,4,3,0,2,0
fire_cleansed-07192019120342-51.jpg,4,0.1,4.67,0.67,0.47140452,0.94280904,5,5,4,0,2,0
fire_cleansed-07192019120343-52.jpg,4.1,0.3,4,0.67,0,0.47140452,4,4,4,1,1,0
fire_cleansed-07192019120344-53.jpg,4.1,0.3,4.67,0.67,0.47140452,0.47140452,4,5,5,0,1,1
fire_cleansed-07192019120345-54.jpg,4.1,0.2,4.33,0.33,0.47140452,0.47140452,4,5,4,0,0,1
fire_cleansed-07192019120346-55.jpg,4.1,0.1,4,0.33,0,0.47140452,4,4,4,0,1,0
fire_cleansed-07192019120348-56.jpg,4.1,0.1,4,1,0.81649658,0.81649658,3,4,5,1,2,0
fire_cleansed-07192019120349-57.jpg,4.2,0.1,4,0,0.81649658,0,3,5,4,0,0,0
fire_cleansed-07192019120350-58.jpg,4.2,0.1,4.33,0,0.47140452,0,4,4,5,0,0,0
fire_cleansed-07192019120351-59.jpg,4.2,0.1,4.33,0,0.47140452,0,4,5,4,0,0,0
fire_cleansed-07192019120352-60.jpg,4.2,0.1,4,0.67,0,0.94280904,4,4,4,0,2,0
fire_cleansed-07192019120353-61.jpg,4.2,0.2,3.67,0.33,0.47140452,0.47140452,3,4,4,0,1,0
fire_cleansed-07192019120355-62.jpg,4.2,0.1,5,0,0.81649658,0,4,6,5,0,0,0
fire_cleansed-07192019120356-63.jpg,4.3,0.1,4.33,0,1.24721913,0,3,6,4,0,0,0
fire_cleansed-07192019120357-64.jpg,4.3,0.2,4.67,0,0.47140452,0,4,5,5,0,0,0
fire_cleansed-07192019120358-65.jpg,4.3,0.1,4.67,0.33,0.47140452,0.47140452,4,5,5,0,1,0
fire_cleansed-07192019120359-66.jpg,4.3,0.1,5.33,1,0.47140452,0.81649658,5,6,5,0,2,1
fire_cleansed-07192019120401-67.jpg,4.3,0.2,4.33,0.33,0.47140452,0.47140452,4,4,5,0,1,0
fire_cleansed-07192019120402-68.jpg,4.3,0.1,4.33,0.67,0.47140452,0.94280904,5,4,4,0,2,0
fire_cleansed-07192019120403-69.jpg,4.3,0.2,4,0,0,0,4,4,4,0,0,0
fire_cleansed-07192019120404-70.jpg,4.3,0.2,4.67,0.33,0.47140452,0.47140452,5,5,4,0,1,0
fire_cleansed-07192019120405-71.jpg,4.4,0.2,4.67,1,0.94280904,0.81649658,4,6,4,0,2,1
fire_cleansed-07192019120406-72.jpg,4.4,0.2,4.67,0.33,0.47140452,0.47140452,5,5,4,1,0,0
fire_cleansed-07192019120408-73.jpg,4.6,0.2,4.33,1.33,0.47140452,0.47140452,4,5,4,1,2,1
fire_cleansed-07192019120409-74.jpg,4.6,0.2,4.67,0.67,0.47140452,0.47140452,4,5,5,1,0,1
fire_cleansed-07192019120410-75.jpg,4.8,0.2,5,0.33,0,0.47140452,5,5,5,0,0,1
fire_cleansed-07192019120411-76.jpg,4.8,0.2,5,0.67,0.81649658,0.94280904,5,6,4,0,2,0
fire_cleansed-07192019120412-77.jpg,5,0.2,5.33,0.67,0.47140452,0.94280904,5,6,5,0,2,0
fire_cleansed-07192019120414-78.jpg,5.2,0.3,4.33,0.67,0.47140452,0.47140452,4,5,4,1,0,1
fire_cleansed-07192019120415-79.jpg,5.1,0.2,5.33,0,1.24721913,0,5,7,4,0,0,0
fire_cleansed-07192019120416-80.jpg,5.1,0.2,5.33,0,0.94280904,0,6,6,4,0,0,0
fire_cleansed-07192019120417-81.jpg,5.5,0.1,5.67,0.33,0.47140452,0.47140452,6,6,5,0,1,0
fire_cleansed-07192019120418-82.jpg,6,0.2,6,0.67,0,0.94280904,6,6,6,0,2,0
fire_cleansed-07192019120419-83.jpg,6.2,0.2,6.33,0.33,0.47140452,0.47140452,6,6,7,1,0,0
fire_cleansed-07192019120421-84.jpg,6.2,0.1,6.33,0,0.47140452,0,6,7,6,0,0,0
fire_cleansed-07192019120422-85.jpg,6,0.1,6.33,0,0.47140452,0,6,7,6,0,0,0
