2021-01-07 23:23:12,264 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 23:23:12,277 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 23:23:12,288 - data_pipeline - INFO - ProcessConductance - Processing Conductivity
2021-01-07 23:23:12,288 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 25
2021-01-07 23:23:12,289 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 0
2021-01-07 23:23:12,305 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 1
2021-01-07 23:23:12,310 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 10
2021-01-07 23:23:12,315 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 11
2021-01-07 23:23:12,320 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 12
2021-01-07 23:23:12,326 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 13
2021-01-07 23:23:12,331 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 14
2021-01-07 23:23:12,339 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 15
2021-01-07 23:23:12,344 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 16
2021-01-07 23:23:12,349 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 17
2021-01-07 23:23:12,354 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 18
2021-01-07 23:23:12,358 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 19
2021-01-07 23:23:12,363 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 2
2021-01-07 23:23:12,367 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 20
2021-01-07 23:23:12,374 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 21
2021-01-07 23:23:12,379 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 22
2021-01-07 23:23:12,384 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 23
2021-01-07 23:23:12,389 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 24
2021-01-07 23:23:12,394 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 25
