2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:01,271 - data_pipeline - INFO - ProcessConductance - Processing Conductivity
2021-01-07 16:55:01,271 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 25
2021-01-07 16:55:01,272 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 0
2021-01-07 16:55:01,290 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 1
2021-01-07 16:55:01,295 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 10
2021-01-07 16:55:01,300 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 11
2021-01-07 16:55:01,305 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 12
2021-01-07 16:55:01,310 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 13
2021-01-07 16:55:01,315 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 14
2021-01-07 16:55:01,319 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 15
2021-01-07 16:55:01,325 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 16
2021-01-07 16:55:01,330 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 17
2021-01-07 16:55:01,335 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 18
2021-01-07 16:55:01,339 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 19
2021-01-07 16:55:01,344 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 2
2021-01-07 16:55:01,348 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 20
2021-01-07 16:55:01,353 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 21
2021-01-07 16:55:01,357 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 22
2021-01-07 16:55:01,361 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 23
2021-01-07 16:55:01,366 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 24
2021-01-07 16:55:01,370 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 25
2021-01-07 16:55:01,375 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 26
2021-01-07 16:55:01,381 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 27
2021-01-07 16:55:01,385 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 28
2021-01-07 16:55:01,390 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 29
2021-01-07 16:55:01,395 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 3
2021-01-07 16:55:01,400 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 30
2021-01-07 16:55:01,404 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 31
2021-01-07 16:55:01,409 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 32
2021-01-07 16:55:01,414 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 33
2021-01-07 16:55:01,418 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 34
2021-01-07 16:55:01,423 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 35
2021-01-07 16:55:01,428 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 36
2021-01-07 16:55:01,432 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 37
2021-01-07 16:55:01,437 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 38
2021-01-07 16:55:01,442 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 39
2021-01-07 16:55:01,448 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 4
2021-01-07 16:55:01,454 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 40
2021-01-07 16:55:01,458 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 41
2021-01-07 16:55:01,463 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 42
2021-01-07 16:55:01,467 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 43
2021-01-07 16:55:01,472 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 44
