Unnamed: 0,Current,Voltage,sample,position
0,0.0,4.48042,25,0
1,0.0002,10.0019,25,0
2,0.0004,10.0018,25,0
3,0.0006,10.0018,25,0
4,0.0008,10.0018,25,0
5,0.001,10.002,25,0
0,0.0,3.8622199999999998,25,1
1,0.0002,10.0018,25,1
2,0.0004,10.0019,25,1
3,0.0006,10.0019,25,1
4,0.0008,10.0021,25,1
5,0.001,10.0021,25,1
0,0.0,3.23711,25,10
1,0.0002,10.0016,25,10
2,0.0004,10.002,25,10
3,0.0006,10.0021,25,10
4,0.0008,10.002,25,10
5,0.001,10.002,25,10
0,0.0,2.8919799999999998,25,11
1,0.0002,10.0017,25,11
2,0.0004,10.0025,25,11
3,0.0006,10.0023,25,11
4,0.0008,10.0022,25,11
5,0.001,10.0022,25,11
0,0.0,4.04603,25,12
1,0.0002,10.002,25,12
2,0.0004,10.0018,25,12
3,0.0006,10.0018,25,12
4,0.0008,10.0018,25,12
5,0.001,10.0018,25,12
0,0.0,4.0045,25,13
1,0.0002,10.0021,25,13
2,0.0004,10.0019,25,13
3,0.0006,10.0018,25,13
4,0.0008,10.0018,25,13
5,0.001,10.0018,25,13
0,0.0,4.05626,25,14
1,0.0002,10.0019,25,14
2,0.0004,10.0018,25,14
3,0.0006,10.0018,25,14
4,0.0008,10.0018,25,14
5,0.001,10.0018,25,14
0,0.0,3.9170800000000003,25,15
1,0.0002,10.0018,25,15
2,0.0004,10.0017,25,15
3,0.0006,10.0018,25,15
4,0.0008,10.0019,25,15
5,0.001,10.002,25,15
0,0.0,4.116280000000001,25,16
1,0.0002,10.0019,25,16
2,0.0004,10.0019,25,16
3,0.0006,10.002,25,16
4,0.0008,10.002,25,16
5,0.001,10.002,25,16
0,0.0,3.65228,25,17
1,0.0002,10.0016,25,17
2,0.0004,10.0021,25,17
3,0.0006,10.0021,25,17
4,0.0008,10.0021,25,17
5,0.001,10.0021,25,17
0,0.0,4.895569999999999,25,18
1,0.0002,10.0017,25,18
2,0.0004,10.0015,25,18
3,0.0006,10.0015,25,18
4,0.0008,10.0016,25,18
5,0.001,10.0016,25,18
0,0.0,3.2633099999999997,25,19
1,0.0002,10.0017,25,19
2,0.0004,10.0023,25,19
3,0.0006,10.0021,25,19
4,0.0008,10.002,25,19
5,0.001,10.0021,25,19
0,0.0,0.000677109,25,2
1,0.0002,10.0023,25,2
2,0.0004,10.0024,25,2
3,0.0006,10.0022,25,2
4,0.0008,10.0022,25,2
5,0.001,10.0022,25,2
0,0.0,5.06516,25,20
1,0.0002,10.0018,25,20
2,0.0004,10.0016,25,20
3,0.0006,10.0016,25,20
4,0.0008,10.0016,25,20
5,0.001,10.0016,25,20
0,0.0,4.28806,25,21
1,0.0002,10.0019,25,21
2,0.0004,10.0017,25,21
3,0.0006,10.0017,25,21
4,0.0008,10.0017,25,21
5,0.001,10.0017,25,21
0,0.0,4.43954,25,22
1,0.0002,10.002,25,22
2,0.0004,10.0018,25,22
3,0.0006,10.0018,25,22
4,0.0008,10.0018,25,22
5,0.001,10.0018,25,22
0,0.0,4.31237,25,23
1,0.0002,10.0021,25,23
2,0.0004,10.0019,25,23
3,0.0006,10.0018,25,23
4,0.0008,10.0018,25,23
5,0.001,10.0018,25,23
0,0.0,4.2336800000000006,25,24
1,0.0002,10.002,25,24
2,0.0004,10.0018,25,24
3,0.0006,10.0017,25,24
4,0.0008,10.0017,25,24
5,0.001,10.0018,25,24
0,0.0,4.2295300000000005,25,25
1,0.0002,10.002,25,25
2,0.0004,10.0018,25,25
3,0.0006,10.0018,25,25
4,0.0008,10.0018,25,25
5,0.001,10.0018,25,25
0,0.0,3.8844199999999995,25,26
1,0.0002,10.0018,25,26
2,0.0004,10.0019,25,26
3,0.0006,10.002,25,26
4,0.0008,10.002,25,26
5,0.001,10.002,25,26
0,0.0,3.6277800000000004,25,27
1,0.0002,10.002,25,27
2,0.0004,10.0019,25,27
3,0.0006,10.002,25,27
4,0.0008,10.002,25,27
5,0.001,10.002,25,27
0,0.0,0.000572205,25,28
1,0.0002,10.0023,25,28
2,0.0004,10.0024,25,28
3,0.0006,10.0022,25,28
4,0.0008,10.0022,25,28
5,0.001,10.0022,25,28
0,0.0,3.86675,25,29
1,0.0002,10.0015,25,29
2,0.0004,10.0021,25,29
3,0.0006,10.0019,25,29
4,0.0008,10.0018,25,29
5,0.001,10.0019,25,29
0,0.0,4.709230000000001,25,3
1,0.0002,10.0019,25,3
2,0.0004,10.0017,25,3
3,0.0006,10.0017,25,3
4,0.0008,10.0017,25,3
5,0.001,10.0017,25,3
0,0.0,0.000517368,25,30
1,0.0002,10.0023,25,30
2,0.0004,10.0023,25,30
3,0.0006,10.0021,25,30
4,0.0008,10.0021,25,30
5,0.001,10.0021,25,30
0,0.0,4.09285,25,31
1,0.0002,10.002,25,31
2,0.0004,10.0017,25,31
3,0.0006,10.0017,25,31
4,0.0008,10.0017,25,31
5,0.001,10.0017,25,31
0,0.0,3.67829,25,32
1,0.0002,10.002,25,32
2,0.0004,10.0017,25,32
3,0.0006,10.0017,25,32
4,0.0008,10.0017,25,32
5,0.001,10.0017,25,32
0,0.0,3.68909,25,33
1,0.0002,10.0019,25,33
2,0.0004,10.0017,25,33
3,0.0006,10.0017,25,33
4,0.0008,10.0017,25,33
5,0.001,10.0017,25,33
0,0.0,4.022069999999999,25,34
1,0.0002,10.002,25,34
2,0.0004,10.0018,25,34
3,0.0006,10.0017,25,34
4,0.0008,10.0018,25,34
5,0.001,10.0018,25,34
0,0.0,4.09004,25,35
1,0.0002,10.002,25,35
2,0.0004,10.0018,25,35
3,0.0006,10.0017,25,35
4,0.0008,10.0018,25,35
5,0.001,10.0018,25,35
0,0.0,3.5137400000000003,25,36
1,0.0002,10.0018,25,36
2,0.0004,10.0018,25,36
3,0.0006,10.0019,25,36
4,0.0008,10.0019,25,36
5,0.001,10.0022,25,36
0,0.0,2.86198,25,37
1,0.0002,10.0014,25,37
2,0.0004,10.0023,25,37
3,0.0006,10.002,25,37
4,0.0008,10.002,25,37
5,0.001,10.002,25,37
0,0.0,3.01725,25,38
1,0.0002,10.0015,25,38
