2021-01-07 23:32:21,263 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 23:32:21,268 - data_pipeline - INFO - ProcessConductance - Processing Conductivity
2021-01-07 23:32:21,268 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 25
2021-01-07 23:32:21,269 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 0
2021-01-07 23:32:21,281 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 1
2021-01-07 23:32:21,286 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 10
2021-01-07 23:32:21,291 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 11
2021-01-07 23:32:21,295 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 12
2021-01-07 23:32:21,302 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 13
2021-01-07 23:32:21,309 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 14
2021-01-07 23:32:21,315 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 15
2021-01-07 23:32:21,321 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 16
2021-01-07 23:32:21,328 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 17
2021-01-07 23:32:21,334 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 18
2021-01-07 23:32:21,341 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 19
2021-01-07 23:32:21,345 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 2
2021-01-07 23:32:21,349 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 20
2021-01-07 23:32:21,354 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 21
2021-01-07 23:32:21,360 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 22
2021-01-07 23:32:21,366 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 23
2021-01-07 23:32:21,373 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 24
2021-01-07 23:32:21,379 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 25
2021-01-07 23:32:21,384 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 26
2021-01-07 23:32:21,391 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 27
2021-01-07 23:32:21,398 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 28
2021-01-07 23:32:21,404 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 29
2021-01-07 23:32:21,411 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 3
2021-01-07 23:32:21,415 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 30
2021-01-07 23:32:21,422 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 31
2021-01-07 23:32:21,426 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 32
2021-01-07 23:32:21,433 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 33
2021-01-07 23:32:21,439 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 34
2021-01-07 23:32:21,446 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 35
