sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction
0,0.018009122382693935,0.0192357206831695,0.03565071165553697,0.010175431361485902,0.5051546391752577
1,0.020582230550328567,0.06234928025480489,0.13309842422545803,0.10081172399221928,0.15463917525773196
2,0.006099050152825649,0.014704971419898506,0.025722081079308175,0.020179380850619176,0.23711340206185566
3,0.06481027081064322,0.06350137267311658,0.11861502393646023,0.0315918546665521,0.5463917525773195
4,0.11035604715253253,0.08306388054029581,0.1551382112144298,0.052459741256429986,0.711340206185567
5,0.0009463632310947122,0.004373449829984375,0.010199692601798566,0.010571949863112622,0.09278350515463918
6,0.07268670685763441,0.08567362045565519,0.1195018739862803,0.08045437748186121,0.6082474226804123
7,0.00278686129790418,0.010301205124148078,0.01930896756405039,0.020400964305270313,0.14432989690721648
8,0.0,0.0,,,0.0
9,0.0,0.0,,,0.0
10,0.0,0.0,,,0.0
11,0.0,0.0,,,0.0
12,0.12389759403685577,0.48227835856586687,0.3248126113939192,0.7379089192460009,0.38144329896907214
13,0.02735425976612672,0.07463170551222303,0.08559236120368682,0.11155103523578706,0.31958762886597936
14,0.07973375889337855,0.09407456726892452,0.1459278228803343,0.08085578809942351,0.5463917525773195
15,0.030356219313942275,0.03442440035221486,0.06543451718783112,0.016096168702472557,0.4639175257731959
16,0.0,0.0,,,0.0
17,0.0,0.0,,,0.0
18,0.0,0.0,,,0.0
19,0.0,0.0,,,0.0
20,0.06752180846897436,0.06947539466912526,0.11908391675437296,0.04870888951145816,0.5670103092783505
21,0.012359867984225063,0.03216704303334221,0.059945359723491555,0.04653875878220808,0.20618556701030927
22,0.0,0.0,,,0.0
23,0.03401120993259588,0.0265702142129076,0.051548240054090644,0.012883798580695735,0.6597938144329897
24,9.648245476385005e-05,0.0004638633516310503,0.0015597996853489087,0.0010936576808037862,0.061855670103092786
25,0.11262299121841275,0.3094861155906744,0.15832507461139186,0.35695068042098,0.711340206185567
26,0.08230677899332017,0.09155580941740345,0.16986718217770333,0.049257938988044994,0.4845360824742268
27,0.05488298465315433,0.053742979277568007,0.10044621719539565,0.026636327172846037,0.5463917525773195
28,0.0,0.0,,,0.0
29,0.40139620889354255,3.3214785418587973,1.216732258208551,5.6964348767763795,0.32989690721649484
30,0.025544040653145923,0.03752963463537683,0.06194429858387888,0.03406992417339372,0.41237113402061853
31,0.05565775771392619,0.11105234636802726,0.08180003785228546,0.12643883927896266,0.6804123711340206
32,0.0,0.0,,,0.0
33,0.09593072191269683,0.12249867321799712,0.12407040034042123,0.12616006402440083,0.7731958762886598
34,0.0,0.0,,,0.0
35,0.004373806512726401,0.008256012887777723,0.010606480793361524,0.0099591917743765,0.41237113402061853
36,0.015270812802216647,0.016112018801254274,0.027948468713490843,0.010990482028863423,0.5463917525773195
37,0.09810539628292521,0.44132354650651723,0.15105116570545632,0.5402601383990668,0.6494845360824743
38,0.06295434087920897,0.20266646844860212,0.2105714160442507,0.3260375740509563,0.29896907216494845
39,0.0,0.0,,,0.0
40,0.0,0.0,,,0.0
41,0.006482703805059567,0.019694707654050327,0.036989545240634004,0.0329358781438444,0.17525773195876287
42,2.0352333254724117e-05,0.00015843656755081805,0.0006580587752360798,0.0006260892362928816,0.030927835051546393
43,0.0042587781212764545,0.014573435844336739,0.03442512314698467,0.026044171493061055,0.12371134020618557
44,0.018483696431073435,0.022886203034375555,0.03814720327264093,0.018190146862762498,0.4845360824742268
45,0.05180691786455091,0.0960135876029738,0.12885310340670356,0.11402059069879272,0.4020618556701031
46,0.05981069468303315,0.05236787623842803,0.10002823076300371,0.023738773013571156,0.5979381443298969
47,0.08177483423964255,0.08728944482643942,0.1391606828288654,0.07057318031365138,0.5876288659793815
48,0.06050959979500382,0.11410920952095847,0.11738862360230738,0.13632174579488,0.5154639175257731
49,0.2191328375982792,1.6198718627648006,0.6251730955009731,2.68928038425504,0.35051546391752575
50,0.0017757985322487185,0.008784125836410986,0.024607493946875097,0.022525504351018872,0.07216494845360824
51,0.12235239760491567,0.3387256976207245,0.22823428014763117,0.4357283693283546,0.5360824742268041
52,0.0945310982323338,0.09874826737172128,0.16671848233702508,0.07185148296883885,0.5670103092783505
