sample,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,1.7559422733929412e-07,3.6310348308939595e-08,41,False,1.7559422733929412e-07,3.6310348308939595e-08
1,3.224657552684232e-07,9.760303952063214e-08,9,False,3.224657552684232e-07,9.760303952063214e-08
2,7.485956218134814e-08,5.5543025957879505e-08,22,False,7.485956218134814e-08,5.5543025957879505e-08
3,5.246772463488111e-07,9.078985123348996e-08,35,False,5.246772463488111e-07,9.078985123348996e-08
4,3.241739089073448e-07,1.1488423430352245e-07,55,False,3.241739089073448e-07,1.1488423430352245e-07
5,2.4449893941808985e-08,2.608081457728193e-08,8,False,2.4449893941808985e-08,2.608081457728193e-08
6,4.99095781380586e-07,1.2870791714672234e-07,45,False,4.99095781380586e-07,1.2870791714672234e-07
7,5.1235028973889456e-08,4.95845203032169e-08,11,False,5.1235028973889456e-08,4.95845203032169e-08
8,,,0,True,0.0,1e-07
9,,,0,True,0.0,1e-07
10,,,0,True,0.0,1e-07
11,,,0,True,0.0,1e-07
12,2.795299757556312e-07,2.2717558856048838e-07,22,False,2.795299757556312e-07,2.2717558856048838e-07
13,1.8213948983269317e-07,1.2265264497180044e-07,22,False,1.8213948983269317e-07,1.2265264497180044e-07
14,4.3945361718017754e-07,2.2862210371064656e-07,44,False,4.3945361718017754e-07,2.2862210371064656e-07
15,2.842862232904764e-07,5.631359305274885e-08,31,False,2.842862232904764e-07,5.631359305274885e-08
16,,,0,True,0.0,1e-07
17,,,0,True,0.0,1e-07
18,,,0,True,0.0,1e-07
19,,,0,True,0.0,1e-07
20,3.2792426796014245e-07,1.246768481330524e-07,49,False,3.2792426796014245e-07,1.246768481330524e-07
21,1.3308243272769885e-07,9.399068665340684e-08,14,False,1.3308243272769885e-07,9.399068665340684e-08
22,,,0,True,0.0,1e-07
23,1.650762388456924e-07,4.23430277924583e-08,51,False,1.650762388456924e-07,4.23430277924583e-08
24,3.7630870050655225e-09,3.0377646230409798e-09,5,False,3.7630870050655225e-09,3.0377646230409798e-09
25,7.913493832988614e-08,1.2311519238610336e-07,30,False,7.913493832988614e-08,1.2311519238610336e-07
26,6.128505740036949e-07,9.368844656611396e-08,37,False,6.128505740036949e-07,9.368844656611396e-08
27,3.3564565167894023e-07,8.312560625380683e-08,41,False,3.3564565167894023e-07,8.312560625380683e-08
28,,,0,True,0.0,1e-07
29,4.4629117410655605e-08,7.356159248907501e-08,12,False,4.4629117410655605e-08,7.356159248907501e-08
30,2.9181456817239695e-07,1.053422925355917e-07,26,False,2.9181456817239695e-07,1.053422925355917e-07
31,1.2463279590244132e-07,9.765956559355933e-08,47,False,1.2463279590244132e-07,9.765956559355933e-08
32,,,0,True,0.0,1e-07
33,2.86623080129384e-07,8.806016190871739e-08,55,False,2.86623080129384e-07,8.806016190871739e-08
34,,,0,True,0.0,1e-07
35,2.9745610288707423e-08,1.9123261553454076e-08,31,False,2.9745610288707423e-08,1.9123261553454076e-08
36,1.2022098584047768e-07,5.027510200750949e-08,46,False,1.2022098584047768e-07,5.027510200750949e-08
37,2.160792536965121e-07,1.8830319526985637e-07,51,False,2.160792536965121e-07,1.8830319526985637e-07
38,5.173060834074623e-07,1.4480438486432769e-07,22,False,5.173060834074623e-07,1.4480438486432769e-07
39,,,0,True,0.0,1e-07
40,,,0,True,0.0,1e-07
41,1.1235444954848748e-07,7.982002163869735e-08,14,False,1.1235444954848748e-07,7.982002163869735e-08
42,2.055586412824126e-09,1.8708820458547207e-09,3,False,2.055586412824126e-09,1.8708820458547207e-09
43,1.0741366685669117e-07,8.064364471081039e-08,12,False,1.0741366685669117e-07,8.064364471081039e-08
44,1.2671645532418023e-07,4.065896479524057e-08,35,False,1.2671645532418023e-07,4.065896479524057e-08
45,3.207743547072994e-07,2.2944545986822253e-07,30,False,3.207743547072994e-07,2.2944545986822253e-07
46,3.853971717843343e-07,8.206760433491743e-08,46,False,3.853971717843343e-07,8.206760433491743e-08
47,5.11652285861387e-07,1.9446150897078488e-07,41,False,5.11652285861387e-07,1.9446150897078488e-07
48,3.864006643152015e-07,1.181040226681137e-07,38,False,3.864006643152015e-07,1.181040226681137e-07
49,1.4650384141567767e-07,1.080391984692334e-07,28,False,1.4650384141567767e-07,1.080391984692334e-07
50,5.350075661285595e-08,5.348016075641093e-08,7,False,5.350075661285595e-08,5.348016075641093e-08
51,2.1841391390617193e-07,1.111711568499959e-07,33,False,2.1841391390617193e-07,1.111711568499959e-07
52,6.923161787512078e-07,9.785222224784234e-08,39,False,6.923161787512078e-07,9.785222224784234e-08
